
Species	IMGT/GENE-DB	IMGT gene functionality	IMGT and HGNC gene definition	Number of alleles	Chromosomal localization	IMGT/LIGM-DB reference sequence(s) for allele *01	HGNC gene symbol	HGNC database	NCBI Gene	Ensembl	GenAtlas	GeneCards	UniProt
Homo sapiens	IGKV1/OR2-6	P	Homo sapiens immunoglobulin kappa variable 1/OR2-6	1	2q11.2	X05103	IGKV1OR2-6	5770	28865	ENSG00000271569	26642	IGKV1OR2-6	
Homo sapiens	IGKV1/OR2-9	P	Homo sapiens immunoglobulin kappa variable 1/OR2-9	1	2q11.2	X51879	IGKV1OR2-9	5771	28864	ENSG00000271351	26643	IGKV1OR2-9	
Homo sapiens	IGKV1/OR22-1	P	Homo sapiens immunoglobulin kappa variable 1/OR22-1	1	22q11	Z00040	IGKV1OR22-1	5772	3530	ENSG00000253481	26644	IGKV1OR22-1	
Homo sapiens	IGKV1/OR22-5	P	Homo sapiens immunoglobulin kappa variable 1/OR22-5	2	22q11	Z00003	IGKV1OR22-5	5773	28850	ENSG00000230481	9767	IGKV1OR22-5	
Homo sapiens	IGKV1/OR9-1	P	Homo sapiens immunoglobulin kappa variable 1/OR9-1	1	9q21.11	AL512605	IGKV1OR9-1	49473	103352540	ENSG00000204780		IGKV1OR9-1	
Homo sapiens	IGKV1/OR9-2	P	Homo sapiens immunoglobulin kappa variable 1/OR9-2	1	9p12	AC129778	IGKV1OR9-2	49466	106480274	ENSG00000225380		IGKV1OR9-2	
Homo sapiens	IGKV1/ORY-1	P	Homo sapiens immunoglobulin kappa variable 1/ORY-1	1	Y	AC134879	IGKV1ORY-1	37729	439957			IGKV1ORY-1	
Homo sapiens	IGKV1D-12	F	Homo sapiens immunoglobulin kappa variable 1D-12	2	2p11.2	X17263	IGKV1D-12	5746	28903	ENSG00000278857	26593	IGKV1D-12	P01611
Homo sapiens	IGKV1D-13	F	Homo sapiens immunoglobulin kappa variable 1D-13	2	2p11.2	X17262	IGKV1D-13	5747	28902	ENSG00000276566	26594	IGKV1D-13	A0A0B4J2D9
Homo sapiens	IGKV1D-16	F	Homo sapiens immunoglobulin kappa variable 1D-16	2	2p11.2	K01323	IGKV1D-16	5748	28901	ENSG00000241244	26595	IGKV1D-16	P01601
Homo sapiens	IGKV1D-17	F	Homo sapiens immunoglobulin kappa variable 1D-17	1	2p11.2	X63392	IGKV1D-17	5749	28900	ENSG00000242766	26596	IGKV1D-17	A0A075B6S4
Homo sapiens	IGKV1D-22	P	Homo sapiens immunoglobulin kappa variable 1D-22	1	2p11.2	X71887	IGKV1D-22	5750	28899	ENSG00000253365	26631	IGKV1D-22	
Homo sapiens	IGKV1D-27	P	Homo sapiens immunoglobulin kappa variable 1D-27	1	2p11.2	Z00004	IGKV1D-27	5751	28898	ENSG00000224607	26632	IGKV1D-27	
Homo sapiens	IGKV1D-32	P	Homo sapiens immunoglobulin kappa variable 1D-32	1	2p11.2	X71896	IGKV1D-32	5752	28897	ENSG00000253191	26633	IGKV1D-32	
Homo sapiens	IGKV1D-33	F	Homo sapiens immunoglobulin kappa variable 1D-33	1	2p11.2	M64855	IGKV1D-33	5753	28896	ENSG00000239975	26597	IGKV1D-33	P01593
Homo sapiens	IGKV1D-35	P	Homo sapiens immunoglobulin kappa variable 1D-35	2	2p11.2	X71894	IGKV1D-35	5754	28895	ENSG00000232747	26634	IGKV1D-35	
Homo sapiens	IGKV1D-37	ORF	Homo sapiens immunoglobulin kappa variable 1D-37	1	2p11.2	X71893	IGKV1D-37	5755	28894	ENSG00000250036	26598	IGKV1D-37	
Homo sapiens	IGKV1D-39	F	Homo sapiens immunoglobulin kappa variable 1D-39	1	2p11.2	X59312	IGKV1D-39	5756	28893	ENSG00000251546	26599	IGKV1D-39	P04432
Homo sapiens	IGKV1D-42	ORF	Homo sapiens immunoglobulin kappa variable 1D-42	2	2p11.2	X72816	IGKV1D-42	5757	28892	ENSG00000211633	26600	IGKV1D-42	
Homo sapiens	IGKV1D-43	F	Homo sapiens immunoglobulin kappa variable 1D-43	1	2p11.2	X72817	IGKV1D-43	5758	28891	ENSG00000242580	26601	IGKV1D-43	A0A0B4J1Z2
Homo sapiens	IGKV1D-8	F (F)	Homo sapiens immunoglobulin kappa variable 1D-8	4	2p11.2	Z00008	IGKV1D-8	5759	28904	ENSG00000239819	26602	IGKV1D-8	A0A087WSZ0
Homo sapiens	IGKV2-10	P	Homo sapiens immunoglobulin kappa variable 2-10	2	2p11.2	Z00012	IGKV2-10	5776	28928	ENSG00000253278	26645	IGKV2-10	
Homo sapiens	IGKV2-14	P	Homo sapiens immunoglobulin kappa variable 2-14	1	2p11.2	X72810	IGKV2-14	5777	28927	ENSG00000253265	26646	IGKV2-14	
Homo sapiens	IGKV2-18	P	Homo sapiens immunoglobulin kappa variable 2-18	1	2p11.2	X63400	IGKV2-18	5778	28926	ENSG00000254157	26647	IGKV2-18	
Homo sapiens	IGKV2-19	P	Homo sapiens immunoglobulin kappa variable 2-19	1	2p11.2	X12692	IGKV2-19	5779	28925	ENSG00000253732	26648	IGKV2-19	
Homo sapiens	IGKV2-23	P	Homo sapiens immunoglobulin kappa variable 2-23	1	2p11.2	X71885	IGKV2-23	5780	28924	ENSG00000253625	26649	IGKV2-23	
Homo sapiens	IGKV2-24	F	Homo sapiens immunoglobulin kappa variable 2-24	2	2p11.2	X12684	IGKV2-24	5781	28923	ENSG00000241294	26605	IGKV2-24	A0A0C4DH68
Homo sapiens	IGKV2-26	P	Homo sapiens immunoglobulin kappa variable 2-26	1	2p11.2	X71884	IGKV2-26	5782	28922	ENSG00000254098	26650	IGKV2-26	
Homo sapiens	IGKV2-28	F	Homo sapiens immunoglobulin kappa variable 2-28	1	2p11.2	X63397	IGKV2-28	5783	28921	ENSG00000244116	26606	IGKV2-28	A0A075B6P5
Homo sapiens	IGKV2-29	P F	Homo sapiens immunoglobulin kappa variable 2-29	3	2p11.2	X63396	IGKV2-29	5784	28920	ENSG00000253998	26607	IGKV2-29	A2NJV5
Homo sapiens	IGKV2-30	[F] F	Homo sapiens immunoglobulin kappa variable 2-30	2	2p11.2	X63403	IGKV2-30	5785	28919	ENSG00000243238	26608	IGKV2-30	P06310
Homo sapiens	IGKV2-36	P	Homo sapiens immunoglobulin kappa variable 2-36	2	2p11.2	X71889	IGKV2-36	5786	28918	ENSG00000253487	26651	IGKV2-36	
Homo sapiens	IGKV2-38	P	Homo sapiens immunoglobulin kappa variable 2-38	2	2p11.2	X71888	IGKV2-38	5787	28917	ENSG00000253592	26652	IGKV2-38	
Homo sapiens	IGKV2-4	P	Homo sapiens immunoglobulin kappa variable 2-4	2	2p11.2	X72814	IGKV2-4	5788	28929	ENSG00000253435	26653	IGKV2-4	
Homo sapiens	IGKV2-40	F	Homo sapiens immunoglobulin kappa variable 2-40	2	2p11.2	X59314	IGKV2-40	5789	28916	ENSG00000273962	26609	IGKV2-40	A0A087WW87
Homo sapiens	IGKV2/OR2-1	P	Homo sapiens immunoglobulin kappa variable 2/OR2-1	1	2q11.2	X05101	IGKV2OR2-1	5805	28861	ENSG00000270748	27549	IGKV2OR2-1	
Homo sapiens	IGKV2/OR2-10	P	Homo sapiens immunoglobulin kappa variable 2/OR2-10	1	2q11.2	X51886	IGKV2OR2-10	5806	28855	ENSG00000276050	26662	IGKV2OR2-10	
Homo sapiens	IGKV2/OR2-2	P	Homo sapiens immunoglobulin kappa variable 2/OR2-2	1	2q11.2	X51884	IGKV2OR2-2	5808	28859	ENSG00000271402	26663	IGKV2OR2-2	
Homo sapiens	IGKV2/OR2-4	P	Homo sapiens immunoglobulin kappa variable 2/OR2-4	1	2q11.2	X51883	IGKV2OR2-4	5809	28858		27550	IGKV2OR2-4	
Homo sapiens	IGKV2/OR2-7	P	Homo sapiens immunoglobulin kappa variable 2/OR2-7	1	2q11.2	X51881	IGKV2OR2-7	5810	652873	ENSG00000270450	26665	IGKV2OR2-7	
Homo sapiens	IGKV2/OR2-7D	P	Homo sapiens immunoglobulin kappa variable 2/OR2-7D	1	2q11.2	AC092683	IGKV2OR2-7D	37489	100310869	ENSG00000271015		IGKV2OR2-7D	
Homo sapiens	IGKV2/OR2-8	P	Homo sapiens immunoglobulin kappa variable 2/OR2-8	1	2q11.2	X51880	IGKV2OR2-8	5811	100996600	ENSG00000278537	26666	IGKV2OR2-8	
Homo sapiens	IGKV2/OR22-3	P	Homo sapiens immunoglobulin kappa variable 2/OR22-3	1	22q11	Z00041	IGKV2OR22-3	5812	3529	ENSG00000253460	7424	IGKV2OR22-3	
Homo sapiens	IGKV2/OR22-4	P	Homo sapiens immunoglobulin kappa variable 2/OR22-4	1	22q11	M20707	IGKV2OR22-4	5813	28847	ENSG00000253691	26668	IGKV2OR22-4	
Homo sapiens	IGKV2D-10	P	Homo sapiens immunoglobulin kappa variable 2D-10	1	2p11.2	X17265	IGKV2D-10	5792	28890	ENSG00000253906	25733	IGKV2D-10	
Homo sapiens	IGKV2D-14	P	Homo sapiens immunoglobulin kappa variable 2D-14	1	2p11.2	X72811	IGKV2D-14	5793	28889	ENSG00000254292	26655	IGKV2D-14	
Homo sapiens	IGKV2D-18	P	Homo sapiens immunoglobulin kappa variable 2D-18	1	2p11.2	X63395	IGKV2D-18	5794	28888	ENSG00000254220	26656	IGKV2D-18	
Homo sapiens	IGKV2D-19	P	Homo sapiens immunoglobulin kappa variable 2D-19	1	2p11.2	X71882	IGKV2D-19	5795	28887	ENSG00000253765	26657	IGKV2D-19	
Homo sapiens	IGKV2D-23	P	Homo sapiens immunoglobulin kappa variable 2D-23	1	2p11.2	X71887	IGKV2D-23	5796	28886	ENSG00000254345	26658	IGKV2D-23	
Homo sapiens	IGKV2D-24	ORF	Homo sapiens immunoglobulin kappa variable 2D-24	1	2p11.2	X63401	IGKV2D-24	5797	28885	ENSG00000241566	26610	IGKV2D-24	
Homo sapiens	IGKV2D-26	F	Homo sapiens immunoglobulin kappa variable 2D-26	3	2p11.2	AP001216	IGKV2D-26	5798	28884	ENSG00000211623	26659	IGKV2D-26	A0A0A0MRZ7
Homo sapiens	IGKV2D-28	F	Homo sapiens immunoglobulin kappa variable 2D-28	1	2p11.2	X12691	IGKV2D-28	5799	28883	ENSG00000242534	26611	IGKV2D-28	P01615
Homo sapiens	IGKV2D-29	F	Homo sapiens immunoglobulin kappa variable 2D-29	2	2p11.2	M31952	IGKV2D-29	5800	28882	ENSG00000243264	26612	IGKV2D-29	A0A075B6S2
Homo sapiens	IGKV2D-30	F	Homo sapiens immunoglobulin kappa variable 2D-30	1	2p11.2	X63402	IGKV2D-30	5801	28881	ENSG00000239571	26613	IGKV2D-30	A0A075B6S6
Homo sapiens	IGKV2D-36	P	Homo sapiens immunoglobulin kappa variable 2D-36	1	2p11.2	X71893	IGKV2D-36	5802	28880	ENSG00000253127	26660	IGKV2D-36	
Homo sapiens	IGKV2D-38	P	Homo sapiens immunoglobulin kappa variable 2D-38	1	2p11.2	X71892	IGKV2D-38	5803	28879	ENSG00000254009	26661	IGKV2D-38	
Homo sapiens	IGKV2D-40	F	Homo sapiens immunoglobulin kappa variable 2D-40	1	2p11.2	X59311	IGKV2D-40	5804	28878	ENSG00000251039	26614	IGKV2D-40	P01614
Homo sapiens	IGKV3-11	F	Homo sapiens immunoglobulin kappa variable 3-11	2	2p11.2	X01668	IGKV3-11	5815	28914	ENSG00000241351	26615	IGKV3-11	P04433
Homo sapiens	IGKV3-15	F	Homo sapiens immunoglobulin kappa variable 3-15	2	2p11.2	M23090	IGKV3-15	5816	28913	ENSG00000244437	26616	IGKV3-15	P01624
Homo sapiens	IGKV3-20	F	Homo sapiens immunoglobulin kappa variable 3-20	2	2p11.2	X12686	IGKV3-20	5817	28912	ENSG00000239951	26617	IGKV3-20	P01619
Homo sapiens	IGKV3-25	P	Homo sapiens immunoglobulin kappa variable 3-25	1	2p11.2	X06583	IGKV3-25	5818	28911	ENSG00000253202	26669	IGKV3-25	
Homo sapiens	IGKV3-31	P	Homo sapiens immunoglobulin kappa variable 3-31	1	2p11.2	X71883	IGKV3-31	5819	28910	ENSG00000253158	26670	IGKV3-31	
Homo sapiens	IGKV3-34	P	Homo sapiens immunoglobulin kappa variable 3-34	1	2p11.2	X71891	IGKV3-34	5820	28909	ENSG00000253860	26671	IGKV3-34	
Homo sapiens	IGKV3-7	ORF [ORF]	Homo sapiens immunoglobulin kappa variable 3-7	6	2p11.2	X02725	IGKV3-7	5821	28915	ENSG00000243063	26618	IGKV3-7	
Homo sapiens	IGKV3/OR2-268	ORF	Homo sapiens immunoglobulin kappa variable 3/OR2-268	2	2p12	X74459	IGKV3OR2-268	5830	3523	ENSG00000233999	7707	IGKV3OR2-268	
Homo sapiens	IGKV3/OR2-5	P	Homo sapiens immunoglobulin kappa variable 3/OR2-5	1	2q11.2	X51882	IGKV3OR2-5	5832	28854	ENSG00000270252	26675	IGKV3OR2-5	
Homo sapiens	IGKV3/OR22-2	P	Homo sapiens immunoglobulin kappa variable 3/OR22-2	1	22q11	Z00042	IGKV3OR22-2	5833	3527	ENSG00000254264	26676	IGKV3OR22-2	
Homo sapiens	IGKV3D-11	F	Homo sapiens immunoglobulin kappa variable 3D-11	3	2p11.2	X17264	IGKV3D-11	5823	28876	ENSG00000211632	26619	IGKV3D-11	A0A0A0MRZ8
Homo sapiens	IGKV3D-15	P F	Homo sapiens immunoglobulin kappa variable 3D-15	3	2p11.2	X72815	IGKV3D-15	5824	28875	ENSG00000224041	26620	IGKV3D-15	A0A087WSY6
Homo sapiens	IGKV3D-20	ORF F	Homo sapiens immunoglobulin kappa variable 3D-20	2	2p11.2	X12687	IGKV3D-20	5825	28874	ENSG00000211625	26621	IGKV3D-20	A0A0C4DH25
Homo sapiens	IGKV3D-25	P	Homo sapiens immunoglobulin kappa variable 3D-25	1	2p11.2	X71886	IGKV3D-25	5826	28873	ENSG00000254097	26672	IGKV3D-25	
Homo sapiens	IGKV3D-31	P	Homo sapiens immunoglobulin kappa variable 3D-31	2	2p11.2	X71896	IGKV3D-31	5827	28872	ENSG00000253999	26673	IGKV3D-31	
Homo sapiens	IGKV3D-34	P	Homo sapiens immunoglobulin kappa variable 3D-34	1	2p11.2	X71895	IGKV3D-34	5828	28871	ENSG00000253501	26674	IGKV3D-34	
Homo sapiens	IGKV3D-7	F	Homo sapiens immunoglobulin kappa variable 3D-7	1	2p11.2	X72820	IGKV3D-7	5829	28877	ENSG00000228325	26622	IGKV3D-7	A0A0C4DH55
Homo sapiens	IGKV4-1	F	Homo sapiens immunoglobulin kappa variable 4-1	3	2p11.2	Z00023	IGKV4-1	5834	28908	ENSG00000211598	26623	IGKV4-1	P06312
Homo sapiens	IGKV5-2	F	Homo sapiens immunoglobulin kappa variable 5-2	2	2p11.2	X02485	IGKV5-2	5835	28907	ENSG00000211599	26624	IGKV5-2	P06315
Homo sapiens	IGKV6-21	F	Homo sapiens immunoglobulin kappa variable 6-21	2	2p11.2	X63399	IGKV6-21	5836	28906	ENSG00000211611	26625	IGKV6-21	A0A0C4DH24
Homo sapiens	IGKV6D-21	F	Homo sapiens immunoglobulin kappa variable 6D-21	2	2p11.2	X12683	IGKV6D-21	5837	28870	ENSG00000225523	26626	IGKV6D-21	A0A0A0MT36
Homo sapiens	IGKV6D-41	ORF	Homo sapiens immunoglobulin kappa variable 6D-41	1	2p11.2	M27751	IGKV6D-41	5838	28869	ENSG00000211626	26627	IGKV6D-41	
Homo sapiens	IGKV7-3	P	Homo sapiens immunoglobulin kappa variable 7-3	2	2p11.2	X12682	IGKV7-3	5839	28905	ENSG00000197794	26677	IGKV7-3	
Homo sapiens	IGLC/OR22-1	P	Homo sapiens immunoglobulin lambda constant /OR22-1	1	22q12.2-22q12.3	AL008723	IGLCOR22-1	15696	84096	ENSG00000254127	25850	IGLCOR22-1	
Homo sapiens	IGLC/OR22-2	P	Homo sapiens immunoglobulin lambda constant /OR22-2	1	22q12.2-22q12.3	AL021937	IGLCOR22-2	15697	84086	ENSG00000271093	25851	IGLCOR22-2	
Homo sapiens	IGLC1	ORF F	Homo sapiens immunoglobulin lambda constant 1	2	22q11.2	J00252	IGLC1	5855	3537	ENSG00000211675	3530	IGLC1	
Homo sapiens	IGLC2	F	Homo sapiens immunoglobulin lambda constant 2	3	22q11.2	J00253	IGLC2	5856	3538	ENSG00000211677	3531	IGLC2	
Homo sapiens	IGLC2A		Homo sapiens immunoglobulin lambda constant 2A	0	22q11.2								
Homo sapiens	IGLC2B		Homo sapiens immunoglobulin lambda constant 2B	0	22q11.2								
Homo sapiens	IGLC2C		Homo sapiens immunoglobulin lambda constant 2C	0	22q11.2								
Homo sapiens	IGLC2D		Homo sapiens immunoglobulin lambda constant 2D	0	22q11.2								
Homo sapiens	IGLC3	F	Homo sapiens immunoglobulin lambda constant 3	4	22q11.2	J00254	IGLC3	5857	3539	ENSG00000211679	3532	IGLC3	
Homo sapiens	IGLC4	P	Homo sapiens immunoglobulin lambda constant 4	2	22q11.2	J03009	IGLC4	5858	3540	ENSG00000254029	3533	IGLC4	
Homo sapiens	IGLC5	P	Homo sapiens immunoglobulin lambda constant 5	2	22q11.2	J03010	IGLC5	5859	3541	ENSG00000254030	3534	IGLC5	
Homo sapiens	IGLC6	P F	Homo sapiens immunoglobulin lambda constant 6	5	22q11.2	J03011	IGLC6	5860	3542	ENSG00000222037	3535	IGLC6	
Homo sapiens	IGLC7	F	Homo sapiens immunoglobulin lambda constant 7	3	22q11.2	X51755	IGLC7	5861	28834	ENSG00000211685	3637	IGLC7	
Homo sapiens	IGLJ-C/OR18	P ORF	Homo sapiens immunoglobulin lambda processed joining-constant /OR18	2	18 p11.31	AP001025	IGLJCOR18	28614	204777	ENSG00000265243		IGLJCOR18	
Homo sapiens	IGLJ1	F	Homo sapiens immunoglobulin lambda joining 1	1	22q11.2	X04457	IGLJ1	5863	28833	ENSG00000211674	3539	IGLJ1	A0A0A0MT76
Homo sapiens	IGLJ2	F	Homo sapiens immunoglobulin lambda joining 2	1	22q11.2	M15641	IGLJ2	5864	28832	ENSG00000211676	3540	IGLJ2	
Homo sapiens	IGLJ2A		Homo sapiens immunoglobulin lambda joining 2A	0	22q11.2								
Homo sapiens	IGLJ2B		Homo sapiens immunoglobulin lambda joining 2B	0	22q11.2								
Homo sapiens	IGLJ2C		Homo sapiens immunoglobulin lambda joining 2C	0	22q11.2								
Homo sapiens	IGLJ2D		Homo sapiens immunoglobulin lambda joining 2D	0	22q11.2								
Homo sapiens	IGLJ3	F	Homo sapiens immunoglobulin lambda joining 3	2	22q11.2	M15642	IGLJ3	5865	28831	ENSG00000211678	3541	IGLJ3	
Homo sapiens	IGLJ4	ORF	Homo sapiens immunoglobulin lambda joining 4	1	22q11.2	X51755	IGLJ4	5866	28830	ENSG00000211680	25846	IGLJ4	
Homo sapiens	IGLJ5	ORF	Homo sapiens immunoglobulin lambda joining 5	2	22q11.2	X51755	IGLJ5	5867	28829	ENSG00000211681	25847	IGLJ5	
Homo sapiens	IGLJ6	F	Homo sapiens immunoglobulin lambda joining 6	1	22q11.2	M18338	IGLJ6	5868	28828	ENSG00000211682	3542	IGLJ6	
Homo sapiens	IGLJ7	F	Homo sapiens immunoglobulin lambda joining 7	2	22q11.2	X51755	IGLJ7	5869	28827	ENSG00000211684	3638	IGLJ7	
Homo sapiens	IGLV(I)-11-1	P	Homo sapiens Immunoglobulin lambda variable (I)-11-1	1	22q11.2	AC279423							
Homo sapiens	IGLV(I)-20	P	Homo sapiens immunoglobulin lambda variable (I)-20	2	22q11.2	D87007	IGLVI-20	5934	28769	ENSG00000254240	26736	IGLVI-20	
Homo sapiens	IGLV(I)-38	P	Homo sapiens immunoglobulin lambda variable (I)-38	2	22q11.2	D87009	IGLVI-38	5935	28768	ENSG00000253889	26737	IGLVI-38	
Homo sapiens	IGLV(I)-42	P	Homo sapiens immunoglobulin lambda variable (I)-42	1	22q11.2	X14613	IGLVI-42	5936	28767	ENSG00000254175	26738	IGLVI-42	
Homo sapiens	IGLV(I)-56	P	Homo sapiens immunoglobulin lambda variable (I)-56	1	22q11.2	D86996	IGLVI-56	5937	28766	ENSG00000253126	26739	IGLVI-56	
Homo sapiens	IGLV(I)-63	P	Homo sapiens immunoglobulin lambda variable (I)-63	1	22q11.2	D87022	IGLVI-63	5938	28765	ENSG00000253752	26740	IGLVI-63	
Homo sapiens	IGLV(I)-68	P	Homo sapiens immunoglobulin lambda variable (I)-68	1	22q11.2	D86993	IGLVI-68	5939	28764	ENSG00000254355	26741	IGLVI-68	
Homo sapiens	IGLV(I)-70	P	Homo sapiens immunoglobulin lambda variable (I)-70	1	22q11.2	D86993	IGLVI-70	5940	28763	ENSG00000253239	26742	IGLVI-70	
Homo sapiens	IGLV(II)-24-1	P	Homo sapiens Immunoglobulin lambda variable (II)-24-1	1	22q11.2	D86994							
Homo sapiens	IGLV(III)-59-1	P	Homo sapiens Immunoglobulin lambda variable (III)-59-1	2	22q11.2	D87000							
Homo sapiens	IGLV(III)-60-1	P	Homo sapiens Immunoglobulin lambda variable (III)-60-1	2	22q11.2	D87000							
Homo sapiens	IGLV(IV)-53	P	Homo sapiens immunoglobulin lambda variable (IV)-53	3	22q11.2	D86996	IGLVIV-53	5941	28762	ENSG00000253935	26743	IGLVIV-53	
Homo sapiens	IGLV(IV)-55-1	P	Homo sapiens Immunoglobulin lambda variable (IV)-55-1	1	22q11.2	D86996							
Homo sapiens	IGLV(IV)-59	P	Homo sapiens immunoglobulin lambda variable (IV)-59	1	22q11.2	D87000	IGLVIV-59	5942	28761	ENSG00000254308	26744	IGLVIV-59	
Homo sapiens	IGLV(IV)-64	P	Homo sapiens immunoglobulin lambda variable (IV)-64	1	22q11.2	D87022	IGLVIV-64	5943	28760	ENSG00000253242	26745	IGLVIV-64	
Homo sapiens	IGLV(IV)-65	P	Homo sapiens immunoglobulin lambda variable (IV)-65	1	22q11.2	D87022	IGLVIV-65	5944	28759	ENSG00000254161	26746	IGLVIV-65	
Homo sapiens	IGLV(IV)-66-1	P	Homo sapiens immunoglobulin lambda variable (IV)-66-1	1	22q11.2	D87004	IGLVIV-66-1	15692	84097	ENSG00000253874	26752	IGLVIV-66-1	
Homo sapiens	IGLV(IV)/OR22-1	P	Homo sapiens immunoglobulin lambda variable (IV)/OR22-1	1	22q11.2-22q12.1		IGLVIVOR22-1	15694	84088	ENSG00000271138	26753	IGLVIVOR22-1	
Homo sapiens	IGLV(IV)/OR22-2	P	Homo sapiens immunoglobulin lambda variable (IV)/OR22-2	1	22q12.2-22q12.3		IGLVIVOR22-2	15695	84087	ENSG00000243519	26754	IGLVIVOR22-2	
Homo sapiens	IGLV(V)-58	P	Homo sapiens immunoglobulin lambda variable (V)-58	3	22q11.2	D87000	IGLVV-58	5945	28758	ENSG00000253637	26747	IGLVV-58	
Homo sapiens	IGLV(V)-66	P	Homo sapiens immunoglobulin lambda variable (V)-66	1	22q11.2	D87004	IGLVV-66	5946	28757	ENSG00000254075	26748	IGLVV-66	
Homo sapiens	IGLV(VI)-22-1	P	Homo sapiens immunoglobulin lambda variable (VI)-22-1	3	22q11.2	X71351	IGLVVI-22-1	15689	84091	ENSG00000253546	26749	IGLVVI-22-1	
Homo sapiens	IGLV(VI)-25-1	P	Homo sapiens immunoglobulin lambda variable (VI)-25-1	1	22q11.2	D86994	IGLVVI-25-1	15690	84090	ENSG00000253779	26750	IGLVVI-25-1	
Homo sapiens	IGLV(VII)-41-1	P	Homo sapiens immunoglobulin lambda variable (VII)-41-1	1	22q11.2	X99568	IGLVVII-41-1	15691	84089	ENSG00000254073	26751	IGLVVII-41-1	
Homo sapiens	IGLV/OR8-2		Homo sapiens immunoglobulin lambda variable/OR8-2	0	8q11.2		IGLVOR8-2					IGLVOR8-2	
Homo sapiens	IGLV1-36	F	Homo sapiens immunoglobulin lambda variable 1-36	1	22q11.2	D87010	IGLV1-36	5876	28826	ENSG00000211655	26678	IGLV1-36	A0A0B4J1U3
Homo sapiens	IGLV1-40	F	Homo sapiens immunoglobulin lambda variable 1-40	3	22q11.2	D87010	IGLV1-40	5877	28825	ENSG00000211653	26679	IGLV1-40	P01703
Homo sapiens	IGLV1-41	P ORF	Homo sapiens immunoglobulin lambda variable 1-41	2	22q11.2	M94118	IGLV1-41	5878	28824	ENSG00000253818	26680	IGLV1-41	
Homo sapiens	IGLV1-44	F	Homo sapiens immunoglobulin lambda variable 1-44	4	22q11.2	AC279207	IGLV1-44	5879	28823	ENSG00000211651	26681	IGLV1-44	P01699
Homo sapiens	IGLV1-47	F	Homo sapiens immunoglobulin lambda variable 1-47	3	22q11.2	Z73663	IGLV1-47	5880	28822	ENSG00000211648	26682	IGLV1-47	P01700
Homo sapiens	IGLV1-50	ORF	Homo sapiens immunoglobulin lambda variable 1-50	1	22q11.2	M94112	IGLV1-50	5881	28821	ENSG00000211645	26683	IGLV1-50	
Homo sapiens	IGLV1-51	F	Homo sapiens immunoglobulin lambda variable 1-51	2	22q11.2	D87018	IGLV1-51	5882	28820	ENSG00000211644	26684	IGLV1-51	P01701
Homo sapiens	IGLV1-62	P	Homo sapiens immunoglobulin lambda variable 1-62	1	22q11.2	D87022	IGLV1-62	5883	28819	ENSG00000253823	26718	IGLV1-62	
Homo sapiens	IGLV10-54	P F	Homo sapiens immunoglobulin lambda variable 10-54	6	22q11.2	Z73676	IGLV10-54	5884	28772	ENSG00000211642	26685	IGLV10-54	A0A075B6I4
Homo sapiens	IGLV10-67	P	Homo sapiens immunoglobulin lambda variable 10-67	2	22q11.2	D86993	IGLV10-67	5885	28771	ENSG00000253794	26719	IGLV10-67	
Homo sapiens	IGLV11-55	P ORF	Homo sapiens immunoglobulin lambda variable 11-55	3	22q11.2	D86996	IGLV11-55	5886	28770	ENSG00000211641	26686	IGLV11-55	
Homo sapiens	IGLV2-11	F	Homo sapiens immunoglobulin lambda variable 2-11	3	22q11.2	AC279423	IGLV2-11	5887	28816	ENSG00000211668	26687	IGLV2-11	P01706
Homo sapiens	IGLV2-14	F	Homo sapiens immunoglobulin lambda variable 2-14	5	22q11.2	D87015	IGLV2-14	5888	28815	ENSG00000211666	26688	IGLV2-14	P01704
Homo sapiens	IGLV2-18	F	Homo sapiens immunoglobulin lambda variable 2-18	4	22q11.2	D87007	IGLV2-18	5889	28814	ENSG00000211664	26689	IGLV2-18	A0A075B6J9
Homo sapiens	IGLV2-23	F	Homo sapiens immunoglobulin lambda variable 2-23	4	22q11.2	X14616	IGLV2-23	5890	28813	ENSG00000211660	26690	IGLV2-23	P01705
Homo sapiens	IGLV2-28	P	Homo sapiens immunoglobulin lambda variable 2-28	1	22q11.2	AC279318	IGLV2-28	5891	28812	ENSG00000253451	26720	IGLV2-28	
Homo sapiens	IGLV2-33	ORF	Homo sapiens immunoglobulin lambda variable 2-33	3	22q11.2	D87014	IGLV2-33	5892	28811	ENSG00000211656	26691	IGLV2-33	
Homo sapiens	IGLV2-34	P	Homo sapiens immunoglobulin lambda variable 2-34	2	22q11.2	D87013	IGLV2-34	5893	28810	ENSG00000253120	26721	IGLV2-34	
Homo sapiens	IGLV2-5	P	Homo sapiens immunoglobulin lambda variable 2-5	2	22q11.2	D87024	IGLV2-5	5894	28818	ENSG00000253234	26722	IGLV2-5	
Homo sapiens	IGLV2-8	F	Homo sapiens immunoglobulin lambda variable 2-8	4	22q11.2	X97462	IGLV2-8	5895	28817	ENSG00000278196	26692	IGLV2-8	P01709
Homo sapiens	IGLV3-1	F	Homo sapiens immunoglobulin lambda variable 3-1	2	22q11.2	X57826	IGLV3-1	5896	28809	ENSG00000211673	26693	IGLV3-1	P01715
Homo sapiens	IGLV3-10	F	Homo sapiens immunoglobulin lambda variable 3-10	3	22q11.2	D87021	IGLV3-10	5897	28803	ENSG00000211669	26694	IGLV3-10	A0A075B6K4
